domain_name,label,Dimension 1,Dimension 2
vdplwilgioudqbakr.com,0,-4.807273,7.3082204
tpzarqai5ip2n1xxkl1dsprd3.biz,0,-9.661421,-1.0044225
zero-ani-mania.net,0,-23.028425,12.697854
gloveresources.com,0,-18.007706,-9.365156
soildish.net,0,-13.74021,-15.133098
kqgcnkwvwiga.info,0,-29.599892,-39.66698
jbfdanerraticallyqozaw.com,0,-21.494228,-10.678346
vuunpqoqqvtoetkz.org,0,-23.028425,12.697854
rprvpartbulkyf.com,0,-8.98606,11.248941
wgboestnessbiophysicalohax.com,0,-6.705907,7.8048244
cloudhooks.com,0,-23.193829,-10.694461
1eun6ws1p97zbq1mzlzte143afy0.net,0,-7.679479,-13.113231
awbdleasuredehydratorysagp.com,0,25.361649,10.457355
bfbffamcbafccfef.com,0,26.533978,7.947297
iwjrsemitismgavenuteq.com,0,28.298365,13.56286
quyhwgnyhvuv.com,0,-6.690045,8.550899
rpmgfordlinnetavox.com,0,-5.859156,9.022959
ylyiox.com,0,-5.1510572,9.996705
ipeople.vn,0,-6.167292,9.0776005
oiueidablyhoosieraw.com,0,-6.690045,8.550899
lyoqeguqqerk.kz,0,-6.690045,8.550899
wrakoptrtwogvoop.com,0,-5.1510572,9.996705
fzgcvinskycattederifg.com,0,-6.6836677,7.7639575
owcfthoodivettewl.com,0,-5.4228106,6.7695494
pfypererwyatanb.com,0,-6.1029625,9.690875
1ksxkjwijyhnnn0blx916oa0i0.org,0,-3.3959744,7.633818
kcfxiologistbikerepil.com,0,-5.7004566,9.891288
nhimnzogltmmox.info,0,-5.668118,8.958746
rachaelparrott.000webhostapp.com,0,-4.349919,8.639411
ddidswswhaauivibkrvskrmvmbir.info,0,-4.7046285,9.289666
wgewererwyatanb.com,0,-6.1387696,9.6247
etp5ok2db5h6wvalwzgnf3al.org,0,-3.4429982,7.527711
cpdqht1cvhk681x01slb1rr56ca.net,0,-4.261898,6.811498
1y5y50y1yj7y9s1lmcjza1wvn93u.net,0,-3.4989974,9.1400385
forsometests.pro,0,-4.2476563,8.145742
1wqn1d91mmmxgx1r15a7816grwpg.net,0,-4.9781036,8.55181
xrezrasildeafeninguvuc.com,0,-3.9278097,8.851191
17ul5l919anvt03rbh851t8t7ev.com,0,-6.376742,7.27083
m6ec54549df92ba781f733761331d12a26.cc,0,-5.728419,8.095894
hrkumachuslazaroqok.com,0,-5.5067544,7.487046
uqeweioiu.tj,0,-4.813222,7.920584
maeawgeaum.com,0,-3.2754009,8.364864
jbapfdkw.info,0,-5.526038,6.7802234
fooxlwmbzcgowdmkbthw.org,0,-3.69944,7.1665077
bzmctp1gmnkoj1texdj1u6jauf.com,0,-3.8019872,9.492944
egxjsemitismgavenuteq.com,0,-5.899675,7.549732
551twlikhpan1.net,0,-16.44157,2.8407395
xzbjancorml.com,0,-9.234532,-7.6926856
kyswalitydevonianizuwb.com,0,4.321646,4.926697
pulai1wgjmfv92rief1yzc8po.net,0,-23.198523,1.3667883
o46329467fccfc1f9f3167d3092c4e5a72.hk,0,10.555055,20.690521
mta57dthri15l28mqbriti55gqfzg13dta67g13.com,0,-15.942099,8.365089
fgdvrcbemxxp.biz,0,-23.221865,8.808149
bflffgojcwnc.pw,0,13.953162,20.271757
vrqhfordlinnetavox.com,0,-11.813538,10.773395
bzbzardenslavetusul.com,0,-11.16978,2.0863729
1firas.ddns.net,0,-14.675707,-4.7587113
hotkine.com,0,-35.00088,-49.38592
kihrmhafcptshobu.com,0,9.918595,20.239754
ebkgwtuox.sh,0,-20.882832,22.560852
hfytancorml.com,0,-26.721163,12.898891
fdizmen.com,0,-13.933019,28.479786
jppost-awa.top,0,-9.804929,-6.2864537
tbxlrasildeafeninguvuc.com,0,-15.011314,-3.498426
flasehplayergetadob.net,0,0.883141,2.3858614
kgkcinalcentricem.com,0,-25.439516,5.5879245
ijosieojvzooumot.org,0,-28.479097,-39.626163
hhjzanerraticallyqozaw.com,0,-17.358175,-1.2285203
fkp3p0fopavqyra8gt48nxk8.biz,0,-11.387261,0.5801742
ksdyfordlinnetavox.com,0,-3.9847698,8.688206
idhsleckluplmevoh.nu,0,4.022347,4.0923667
dpfrvvpfkmnxgfty.bid,0,-17.570347,10.88598
hsdyhhiyqfyx.com,0,-3.9023576,9.476501
jpograsildeafeninguvuc.com,0,-6.395098,12.130088
gshqhqyxwfv.com,0,-18.074562,36.566517
xzcboh.com,0,-30.985783,-48.494835
tdconsulting.co.ke,0,19.61373,9.056596
kwjqrnmscfwc.sx,0,-8.083115,-11.667701
zxafardenslavetusul.com,0,27.233078,4.987662
